id,address,square,constr_year,levels,flats,latitude,longitude ,created_at,updated_at
1,"Новороссийск, Литейный пер., 38",6742.5,1989,9,162,44.71313815,37.8476772371263,17.06.2023,17.06.2023
2,"Новороссийск, ул. Аршинцева, 3",428.7,1917,2,7,44.73812825,37.77797325,17.06.2023,17.06.2023
3,"Новороссийск, ул. Бориса Пупко, 1",11381.6,2018,16,105,44.6761272,37.7905627,17.06.2023,17.06.2023
4,"Новороссийск, ул. Бориса Пупко, 10",15258.1,2015,16,224,44.673222,37.791288,17.06.2023,17.06.2023
5,"Новороссийск, ул. Бориса Пупко, 3",19961.5,2017,10,261,44.6753813,37.790707325,17.06.2023,17.06.2023
6,"Новороссийск, ул. Бориса Пупко, 5",17024,2018,10,198,44.673924,37.7903341199426,17.06.2023,17.06.2023
7,"Новороссийск, ул. Бориса Пупко, 8",20370.6,2015,16,288,44.67388775,37.7912374894778,17.06.2023,17.06.2023
8,"Новороссийск, ул. Васенко, 32",278.5,1961,1,7,44.7389923,37.7736189,17.06.2023,17.06.2023
9,"Новороссийск, ул. Вербовая, 11",15603.6,2011,21,135,44.6837115,37.7848659815311,17.06.2023,17.06.2023
10,"Новороссийск, ул. Вербовая, 11А",10423.8,2011,20,135,44.6836678,37.7845907,17.06.2023,17.06.2023
11,"Новороссийск, ул. Вербовая, 13",6384.1,2012,16,80,44.6832399,37.783256828869,17.06.2023,17.06.2023
12,"Новороссийск, ул. Вербовая, 15",6503.4,2010,17,80,44.68307565,37.7828132521691,17.06.2023,17.06.2023
13,"Новороссийск, ул. Вербовая, 17",4817.1,1994,10,80,44.68263955,37.78240855,17.06.2023,17.06.2023
14,"Новороссийск, ул. Вербовая, 17",4817.1,1994,10,80,44.68263955,37.78240855,17.06.2023,17.06.2023
15,"Новороссийск, ул. Вербовая, 21",4819.2,1995,10,80,44.6816613,37.7811791,17.06.2023,17.06.2023
16,"Новороссийск, ул. Вербовая, 3",8767.5,2009,9,87,44.6841366,37.7859038,17.06.2023,17.06.2023
17,"Новороссийск, ул. Вербовая, 5",6676.5,2008,9,90,44.68363335,37.7855203758717,17.06.2023,17.06.2023
18,"Новороссийск, ул. Вербовая, 7",6111.1,2009,9,71,44.68348895,37.7860806142698,17.06.2023,17.06.2023
19,"Новороссийск, ул. Вербовая, 9",9622.9,2010,9,97,44.6835047,37.7865066,17.06.2023,17.06.2023
20,"Новороссийск, ул. Видова, 100",19674.3,2020,21,266,44.7257228,37.7540976704309,17.06.2023,17.06.2023
21,"Новороссийск, ул. Видова, 116",3771.9,1979,6,60,44.7276257,37.7507986,17.06.2023,17.06.2023
22,"Новороссийск, ул. Видова, 119",4646.9,0,5,0,44.72908755,37.748472878042,17.06.2023,17.06.2023
23,"Новороссийск, ул. Видова, 119А",2697.3,0,5,0,44.7295038,37.7487530161374,17.06.2023,17.06.2023
24,"Новороссийск, ул. Видова, 121",2958.3,1966,6,77,44.72966875,37.7479791,17.06.2023,17.06.2023
25,"Новороссийск, ул. Видова, 123",4286.2,1981,9,145,44.72977815,37.7472387231353,17.06.2023,17.06.2023
26,"Новороссийск, ул. Видова, 125",4693.5,1974,5,90,44.7304734,37.7455763,17.06.2023,17.06.2023
27,"Новороссийск, ул. Видова, 129",669.4,1961,2,16,44.73086715,37.7448276121279,17.06.2023,17.06.2023
28,"Новороссийск, ул. Видова, 135",2196.4,1969,6,43,44.7320653,37.7430210196453,17.06.2023,17.06.2023
29,"Новороссийск, ул. Видова, 137",3230.28,1982,5,47,44.7324436,37.741248,17.06.2023,17.06.2023
30,"Новороссийск, ул. Видова, 137А",3786.8,1970,9,0,44.7211569,37.7648737,17.06.2023,17.06.2023
31,"Новороссийск, ул. Видова, 149",5361.1,2014,9,90,44.7376865,37.731318800836,17.06.2023,17.06.2023
32,"Новороссийск, ул. Видова, 151",14039.9,2014,9,196,44.73795055,37.7304172642392,17.06.2023,17.06.2023
33,"Новороссийск, ул. Видова, 153",2222,0,10,0,44.7396431,37.72878775,17.06.2023,17.06.2023
34,"Новороссийск, ул. Видова, 156А",4611.7,1974,5,60,44.73052565,37.7422754,17.06.2023,17.06.2023
35,"Новороссийск, ул. Видова, 157",24476,2000,10,416,44.7393242,37.7292394411125,17.06.2023,17.06.2023
36,"Новороссийск, ул. Видова, 158",2276,1966,5,41,44.7310928,37.7422345,17.06.2023,17.06.2023
37,"Новороссийск, ул. Видова, 158А",5237.2,1979,9,64,44.73124225,37.7428993124174,17.06.2023,17.06.2023
38,"Новороссийск, ул. Видова, 160",3410.2,1967,5,63,44.731501,37.7419719,17.06.2023,17.06.2023
39,"Новороссийск, ул. Видова, 160А",2366.1,1982,9,32,44.73188705,37.74150825,17.06.2023,17.06.2023
40,"Новороссийск, ул. Видова, 162",2106.2,1966,5,41,44.73152335,37.7410643,17.06.2023,17.06.2023
41,"Новороссийск, ул. Видова, 163А",4891.7,2006,9,73,44.73971075,37.7296109,17.06.2023,17.06.2023
42,"Новороссийск, ул. Видова, 163Б",3132.4,2008,9,36,44.7211569,37.7648737,17.06.2023,17.06.2023
43,"Новороссийск, ул. Видова, 164",4995.4,1966,5,89,44.73205335,37.7407744,17.06.2023,17.06.2023
44,"Новороссийск, ул. Видова, 164А",2378.7,1980,9,32,44.7324194,37.7402338,17.06.2023,17.06.2023
45,"Новороссийск, ул. Видова, 165",23549.5,1994,10,463,44.74005865,37.7264188462452,17.06.2023,17.06.2023
46,"Новороссийск, ул. Видова, 166",2127.2,1966,5,40,44.7321671,37.7397396,17.06.2023,17.06.2023
47,"Новороссийск, ул. Видова, 167",17045,1994,10,466,44.7409298,37.7251314285832,17.06.2023,17.06.2023
48,"Новороссийск, ул. Видова, 167Б",6197.2,2011,16,79,44.74187645,37.726997375,17.06.2023,17.06.2023
49,"Новороссийск, ул. Видова, 168",4777.5,1965,5,90,44.73269815,37.7394529,17.06.2023,17.06.2023
50,"Новороссийск, ул. Видова, 169",4274.6,1995,10,459,44.74218725,37.7241663392383,17.06.2023,17.06.2023
51,"Новороссийск, ул. Видова, 171",6065.8,2003,10,108,44.7423199,37.726107168004,17.06.2023,17.06.2023
52,"Новороссийск, ул. Видова, 172",3348.8,1966,5,63,44.73380025,37.737152,17.06.2023,17.06.2023
53,"Новороссийск, ул. Видова, 173",20099.2,2001,10,340,44.74178985,37.7250971252167,17.06.2023,17.06.2023
54,"Новороссийск, ул. Видова, 174",2380.4,1978,9,32,44.7344431,37.7362582114898,17.06.2023,17.06.2023
55,"Новороссийск, ул. Видова, 176",3567.2,1966,5,64,44.7344269,37.73584385,17.06.2023,17.06.2023
56,"Новороссийск, ул. Видова, 176А",2652.8,1977,9,36,44.73485225,37.7353312580828,17.06.2023,17.06.2023
57,"Новороссийск, ул. Видова, 177",4593.2,2007,9,71,44.742927,37.72582485,17.06.2023,17.06.2023
58,"Новороссийск, ул. Видова, 178",3522.5,1966,5,80,44.73500035,37.7346426143807,17.06.2023,17.06.2023
59,"Новороссийск, ул. Видова, 178А",2559.5,1976,9,32,44.73537445,37.73426795,17.06.2023,17.06.2023
60,"Новороссийск, ул. Видова, 180",3583,1967,5,80,44.73473525,37.7341415885541,17.06.2023,17.06.2023
61,"Новороссийск, ул. Видова, 182",3917.8,1970,6,185,44.73529065,37.7335302366838,17.06.2023,17.06.2023
62,"Новороссийск, ул. Видова, 182А",2854.9,1977,9,36,44.73604135,37.7330133427563,17.06.2023,17.06.2023
63,"Новороссийск, ул. Видова, 184",4255.8,1972,5,136,44.7359331,37.73218155,17.06.2023,17.06.2023
64,"Новороссийск, ул. Видова, 186",3829.8,1976,5,164,44.7360969,37.7312239868994,17.06.2023,17.06.2023
65,"Новороссийск, ул. Видова, 188",3917.3,1975,5,159,44.7368119,37.7314884,17.06.2023,17.06.2023
66,"Новороссийск, ул. Видова, 190",3398.2,1975,5,60,44.7366544,37.73097095,17.06.2023,17.06.2023
67,"Новороссийск, ул. Видова, 196",5870,2008,16,80,44.7390826,37.7263696970724,17.06.2023,17.06.2023
68,"Новороссийск, ул. Видова, 196А",6014.2,2009,16,80,44.7388467,37.7266415033321,17.06.2023,17.06.2023
69,"Новороссийск, ул. Видова, 210",1226.8,2011,6,28,44.7393533,37.7247143765022,17.06.2023,17.06.2023
70,"Новороссийск, ул. Видова, 210А",1297.7,2012,6,30,44.7211569,37.7648737,17.06.2023,17.06.2023
71,"Новороссийск, ул. Видова, 210Б",2604,2012,6,41,44.7211569,37.7648737,17.06.2023,17.06.2023
72,"Новороссийск, ул. Видова, 210В",776.2,2013,6,23,44.7211569,37.7648737,17.06.2023,17.06.2023
73,"Новороссийск, ул. Видова, 210Г",4591.3,2015,12,112,44.7211569,37.7648737,17.06.2023,17.06.2023
74,"Новороссийск, ул. Видова, 212",9659.2,2015,15,168,44.73892995,37.7245467,17.06.2023,17.06.2023
75,"Новороссийск, ул. Видова, 214",16993.1,2014,16,304,44.739553,37.72376975,17.06.2023,17.06.2023
76,"Новороссийск, ул. Видова, 220",16949.1,2015,16,272,44.7403147,37.7228506591683,17.06.2023,17.06.2023
77,"Новороссийск, ул. Видова, 56",8707.3,1990,9,144,44.72328305,37.7580335522271,17.06.2023,17.06.2023
78,"Новороссийск, ул. Видова, 58",9696.8,1988,9,144,44.7235598,37.7574739032006,17.06.2023,17.06.2023
79,"Новороссийск, ул. Видова, 65",11708.2,2006,9,144,44.72374185,37.76030135,17.06.2023,17.06.2023
